date,nav_usd,shares_outstanding,eth_per_share,backfill_quality,eth_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_eth,management_fee_pct,obs_ts_utc
2026-03-13,27.041241,5640000.0,0.012862141682767,27.0,72542.4790908061,152512599.24,27.041241,0.0,,,0.12,backfill
2026-03-16,29.994741,5720000.0,0.0128620148241215,24.0,73570.7247939754,171569918.52,29.994741,0.0,,,0.12,backfill
2026-03-17,29.987583,6800000.0,0.0128619725381844,23.0,87461.41325965435,203915564.4,29.987583,0.0,,,0.12,backfill
2026-03-18,28.161277,9040000.0,0.0128619302523863,22.0,116271.8494815728,254577944.07999995,28.161277,0.0,,,0.12,backfill
2026-03-19,27.570535,9080000.0,0.0128618879667273,21.0,116785.94273788392,250340457.8,27.570535,0.0,,,0.12,backfill
2026-03-20,27.329145,9360000.0,0.0128618456812072,20.0,120386.87557609992,255800797.2,27.329145,0.0,,,0.12,backfill
2026-03-23,27.816243,9560000.0,0.0128617188254812,17.0,122958.03197160062,265923283.08,27.816243,0.0,,,0.12,backfill
2026-03-24,27.266021,9600000.0,0.0128616765405172,16.0,123472.09478896578,261753801.6,27.266021,0.0,,,0.12,backfill
2026-03-25,27.901856,9680000.0,0.0128616342556923,15.0,124500.61959510166,270089966.08,27.901856,0.0,,,0.12,backfill
2026-03-26,26.305911,9720000.0,0.0128615919710063,14.0,125014.6739581821,255693454.92,26.305911,0.0,,,0.12,backfill
2026-03-27,25.549681,13400000.0,0.0128615496864594,13.0,172344.76579855697,342365725.4,25.549681,0.0,,,0.12,backfill
2026-03-30,25.966958,14960000.0,0.0128614228336528,10.0,192406.8855914464,388465691.68,25.966958,0.0,,,0.12,backfill
2026-03-31,26.971657,15120000.0,0.0128613805496619,9.0,194464.07391088927,407811453.84,26.971657,0.0,,,0.12,backfill
2026-04-01,27.471902,15160000.0,0.0128613382658101,8.0,194977.888109682,416474034.32000005,27.471902,0.0,,,0.12,backfill
2026-04-02,26.492883,15360000.0,0.0128612959820973,7.0,197549.5062850152,406930682.88,26.492883,0.0,,,0.12,backfill
2026-04-06,27.551595,15360000.0,0.0128611268486362,3.0,197546.9083950522,423192499.1999999,27.551595,0.0,,,0.12,backfill
2026-04-07,26.959079,15360000.0,0.0128610845656184,2.0,197546.2589278996,414091453.44,26.959079,0.0,,,0.12,backfill
2026-04-08,28.352767,15360000.0,0.0128610422827397,1.0,197545.6094628822,435498501.12,28.352767,0.0,,,0.12,backfill
2026-04-09,28.472678,16920000.0,0.012861,,,481757705.0,28.53,0.2,1138907.12,514.44,0.12,2026-04-10T21:39:18.634869+00:00
2026-04-10,28.943821,17400000.0,0.0128607499999999,,,503622494.0,29.02,0.26,1157752.84,514.43,0.12,2026-04-13T21:52:03.041723+00:00
2026-04-13,28.88798,17680000.0,0.0128607499999999,,,510739488.0,29.13,0.84,1155519.2,514.43,0.12,2026-04-14T21:53:51.593432+00:00
2026-04-14,29.779682,17880000.0,0.0128607499999999,,,532460706.0,29.78,0.0,1191187.28,514.43,0.12,2026-04-15T21:53:50.650447+00:00
2026-04-15,30.491322,17920000.0,0.01286075,,,546404497.0,30.59,0.32,1219652.88,514.43,0.12,2026-04-16T21:44:09.483277+00:00
2026-04-16,30.209693,18240000.0,0.0128604999999999,,,551024791.0,30.37,0.53,1208387.72,514.42,0.12,2026-04-17T21:42:47.433710+00:00
2026-04-17,31.222283,18240000.0,0.0128604999999999,,,569494442.0,31.28,0.18,1248891.32,514.42,0.12,2026-04-20T21:49:32.763594+00:00
2026-04-20,29.98653,18280000.0,0.012860499999999999,,,548153773.0,31.28,0.18,1199461.2,514.42,0.12,2026-04-21T07:52:53.176606+00:00
