date,btc_in_trust,net_assets_usd,implied_btc_px,nav_usd,closing_price_usd,premium_discount_pct,shares_outstanding,share_delta,btc_delta,management_fee_pct,est_fee_drain_btc,w_shares,flow_method_agreement,flow_btc_final,flow_usd_final,cumulative_flow_usd,btc_inventory,cost_basis_usd,avg_buy_price_ex_fee,effective_cost_per_current_btc,confidence_score_0_1,observed_annual_fee_drag_pct,estimated_annual_fee_pct,fee_model_error_pct,obs_ts_utc
2024-04-01,252042.2512792638,17469596491.2,69312.17445698913,39.488238,39.488238,0.0,442400000.0,0.0,0.0,0.25,0.0,1.0,5.793143742494067e-13,0.0,0.0,0.0,252042.2512792638,17469596491.200623,69312.17445698913,69312.17445698913,0.0,,0.25,,backfill
2024-04-02,254433.314768358,16800517672.399998,66031.123666711,37.618714,37.618714,0.0,446600000.0,4200000.0,2391.063489094202,0.25,1.7263167895839986,1.0,0.9999999975292259,2392.7897940596995,157998598.79999998,157998598.79999998,254435.0410733235,17627595090.00062,69281.31838931995,69281.78845623732,0.9999999943136517,0.24999828780647437,0.25,-1.7121935256270149e-06,backfill
2024-04-03,256710.40390083444,16911435706.2,65877.48470348046,37.530927,37.530927,0.0,450600000.0,4000000.0,2277.0891324764525,0.25,1.7426939367695755,1.0,0.9999999973810217,2278.8318144768,150123708.0,308122306.79999995,256713.8728878003,17777718798.00062,69251.1027862159,69252.03859235888,0.9999999939723412,0.2499982895165509,0.25,-1.7104834491021847e-06,backfill
2024-04-04,257346.7141601609,17678885233.84,68696.75912332673,39.136822,39.136822,0.0,451720000.0,1120000.0,636.3102593264484,0.25,1.7582904376769481,1.0,0.9999999905629093,638.068537721104,43833240.64,351955547.43999994,257351.9414255214,17821552038.64062,69249.72836778946,69251.13497874039,0.9999999782425375,0.2499982848158666,0.25,-1.7151841333884477e-06,backfill
2024-04-05,259441.4480735963,17579389509.0,67758.60079232955,38.602085,38.602085,0.0,455400000.0,3680000.0,2094.733913435397,0.25,1.7626487271243898,1.0,0.9999999971206303,2096.496550089344,142055672.8,494011220.23999995,259448.43797561072,17963607711.44062,69237.6791766589,69239.54458635634,0.9999999933726038,0.24999829291239006,0.25,-1.7070876099367638e-06,backfill
2024-04-08,263993.62470575405,18954059090.4,71797.41219709026,40.902156,40.902156,0.0,463400000.0,8000000.0,4552.17663215776,0.25,5.3309886590465,1.0,0.9999999919882518,4557.507547789601,327217248.0,821228468.24,264005.9455234003,18290824959.44062,69281.86758513513,69285.10103161575,0.9999999815542144,0.24999657541607823,0.25,-3.424583921773916e-06,backfill
2024-04-09,264288.05250422,18198654687.84,68859.16527593244,39.228002,39.228002,0.0,463920000.0,520000.0,294.42779846594203,0.25,1.808175511683247,1.0,0.9999999790965132,296.235961592896,20398561.04,841627029.28,264302.1814849932,18311223520.48062,69281.39381066861,69285.09763107146,0.9999999516652311,0.2499982867488204,0.25,-1.713251179591424e-06,backfill
2024-04-10,266154.7948223749,18505998969.6,69530.96216791148,39.610443,39.610443,0.0,467200000.0,3280000.0,1866.7423181548947,0.25,1.810192140439863,1.0,0.999999996682243,1868.5524978965282,129922253.03999999,971549282.3199999,266170.73398288974,18441145773.520622,69283.14581236446,69287.29495866413,0.9999999923627244,0.24999828838595528,0.25,-1.7116140447193118e-06,backfill
2024-04-11,266631.5003164882,18731476580.08,70252.30161420049,40.021102,40.021102,0.0,468040000.0,840000.0,476.7054941133247,0.25,1.822978046728595,1.0,0.9999999869537487,478.528459674048,33617725.68,1005167007.9999999,266649.2624425638,18474763499.200623,69284.8850582517,69289.50059265808,0.9999999698938415,0.24999828359612009,0.25,-1.716403879914452e-06,backfill
2024-04-12,269364.1036978686,17997903730.079998,66816.26646982603,38.063412,38.063412,0.0,472840000.0,4800000.0,2732.6033813803806,0.25,1.8262431528526588,1.0,0.9999999977127015,2734.4296120243202,182704377.6,1187871385.6,269383.6920545881,18657467876.80062,69259.82688298688,69264.86350879073,0.9999999947361563,0.24999829161159726,0.25,-1.7083884027435658e-06,backfill
2024-04-15,271021.9793955913,17119185967.44,63165.3049159266,35.982819,35.982819,0.0,475760000.0,2920000.0,1657.8756977227167,0.25,5.534878843106888,1.0,0.9999999772096455,1663.410500746392,105069831.48,1292941217.08,271047.1025553345,18762537708.28062,69222.4249268639,69228.84169809081,0.9999999474300129,0.24999657395319286,0.25,-3.4260468071423134e-06,backfill
