date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-12-17,60.572461,954680000.0,0.0005687021018657,542928.5226091628,57827317067.48,60.572461,0.0,,,0.25,backfill
2024-12-18,57.633265,966920000.0,0.0005686982066725,549885.6699957938,55726756593.8,57.633265,0.0,,,0.25,backfill
2024-12-19,54.867468,973160000.0,0.000568694311506,553430.5561851825,53394825158.880005,54.867468,0.0,,,0.25,backfill
2024-12-20,55.07538,973160000.0,0.0005686904163661,553426.7655908976,53597156800.8,55.07538,0.0,,,0.25,backfill
2024-12-23,52.762448,971840000.0,0.0005686787311067,552664.7380387584,51276657464.31999,52.762448,0.0,,,0.25,backfill
2024-12-24,55.502426,972440000.0,0.0005686748360735,553002.1575914115,53972779139.44,55.502426,0.0,,,0.25,backfill
2024-12-26,54.333196,969040000.0,0.0005686670460873,551061.114340521,52651040251.84,54.333196,0.0,,,0.25,backfill
2024-12-27,53.674186,970080000.0,0.0005686631511342,551648.7496523585,52068254354.88,53.674186,0.0,,,0.25,backfill
2024-12-30,53.709968,971560000.0,0.000568651466435,552479.0187296775,52182456510.08,53.709968,0.0,,,0.25,backfill
2024-12-31,53.296454,970880000.0,0.0005686475715887,552088.5543040476,51744461259.52,53.296454,0.0,,,0.25,backfill
2025-01-02,55.437488,970440000.0,0.0005686397819759,551830.7900207698,53798755854.72,55.437488,0.0,,,0.25,backfill
2025-01-03,55.995765,964440000.0,0.0005686358872096,548415.1950604547,54004555596.6,55.995765,0.0,,,0.25,backfill
2025-01-06,58.0785,968960000.0,0.0005686242030706,550974.1078073215,56275743360.0,58.0785,0.0,,,0.25,backfill
2025-01-07,54.789287,972560000.0,0.0005686203084109,553017.3671481898,53285868964.71999,54.789287,0.0,,,0.25,backfill
2025-01-08,53.468851,983440000.0,0.000568616413778,559200.1259658524,52583406827.44,53.468851,0.0,,,0.25,backfill
2025-01-10,53.989137,981120000.0,0.0005686086245921,557873.2937598013,52969822093.44001,53.989137,0.0,,,0.25,backfill
2025-01-13,52.615324,977720000.0,0.0005685969410132,555928.6011675121,51443054581.28,52.615324,0.0,,,0.25,backfill
2025-01-14,54.869561,978280000.0,0.0005685930465403,556243.20556951,53677794135.08,54.869561,0.0,,,0.25,backfill
2025-01-15,56.890101,974280000.0,0.0005685891520941,553965.0391022587,55426887602.28,56.890101,0.0,,,0.25,backfill
2025-01-16,57.129083,974840000.0,0.0005685852576745,554279.6525914548,55691715271.72001,57.129083,0.0,,,0.25,backfill
2025-01-17,59.859796,984080000.0,0.0005685813632816,559529.5479782033,58906828047.68,59.859796,0.0,,,0.25,backfill
2025-01-21,60.609598,990360000.0,0.0005685657859767,563084.8117999699,60025321475.28,60.609598,0.0,,,0.25,backfill
2025-01-22,59.35837,1001280000.0,0.0005685618917172,569289.6509386519,59434348713.6,59.35837,0.0,,,0.25,backfill
2025-01-23,59.47779,1007080000.0,0.0005685579974843,572583.388106584,59898892753.19999,59.47779,0.0,,,0.25,backfill
2025-01-24,59.880776,1009680000.0,0.0005685541032782,574057.7069979407,60460421911.68,59.880776,0.0,,,0.25,backfill
2025-01-27,57.093401,1012280000.0,0.0005685424208196,575524.1217473468,57794507964.27999,57.093401,0.0,,,0.25,backfill
2025-01-28,57.957867,1013400000.0,0.0005685385267201,576156.9429782336,58734502417.8,57.957867,0.0,,,0.25,backfill
2025-01-29,59.106458,1013920000.0,0.0005685346326473,576448.634733808,59929219895.36001,59.106458,0.0,,,0.25,backfill
2025-01-30,59.981212,1013440000.0,0.0005685307386012,576171.7917280023,60787359489.28001,59.981212,0.0,,,0.25,backfill
2025-01-31,57.934261,1018800000.0,0.0005685268445817,579215.1492598549,59023425106.79999,57.934261,0.0,,,0.25,backfill
2025-02-03,57.816853,1025080000.0,0.0005685151626832,582773.5229633918,59266899673.240005,57.816853,0.0,,,0.25,backfill
2025-02-04,56.089353,1025080000.0,0.0005685112687704,582769.531391259,57496073973.24,56.089353,0.0,,,0.25,backfill
2025-02-05,55.440434,1029520000.0,0.0005685073748843,585289.7125909522,57077035611.68,55.440434,0.0,,,0.25,backfill
2025-02-06,54.855493,1030320000.0,0.0005685034810249,585740.5065695818,56518711547.76,54.855493,0.0,,,0.25,backfill
2025-02-07,54.682598,1030320000.0,0.0005684995871921,585736.4946757827,56340574371.35999,54.682598,0.0,,,0.25,backfill
2025-02-10,55.364708,1030720000.0,0.0005684879058537,585951.8543215973,57065511829.76,55.364708,0.0,,,0.25,backfill
2025-02-11,54.087047,1031720000.0,0.0005684840121276,586516.3249923484,55802688130.84,54.087047,0.0,,,0.25,backfill
2025-02-12,55.273182,1032160000.0,0.0005684801184282,586762.4390368692,57050767533.12,55.273182,0.0,,,0.25,backfill
2025-02-13,54.61315,1031760000.0,0.0005684762247554,586531.0296536785,56347663644.0,54.61315,0.0,,,0.25,backfill
